id,text_answer,right,question_id
1,использовать схему соединения обмоток выпрямительного трансформатора Y/ Y0/0 и два лучевыми выпрямителями,1,1
2,использовать схему соединения обмоток выпрямительного трансформатора Y/0/ Y0  и два лучевыми выпрямителями ,0,1
3,использовать два трансформатора со схемой Y/ Y0 и два лучевых выпрямителя,0,1
4,"включить один лучевой выпрямитель в первичную обмотку, а второй – во вторичную",0,1
5,г,1,2
6,а,0,2
7,б,0,2
8,в,0,2
9,"<img src=""/static/img/q3.1.jpg"" alt=""q3.1.jpg""/>",1,3
10,"<img src=""/static/img/q3.2.jpg"" alt=""q3.2.jpg""/>",0,3
11,"<img src=""/static/img/q3.3.jpg"" alt=""q3.3.jpg""/>",0,3
12,"<img src=""/static/img/q3.4.jpg"" alt=""q3.4.jpg""/>",0,3
13,"0,25",1,4
14,"1,57",0,4
15,"0,667",0,4
16,"0,05",0,4
17,использовать схему соединения обмоток выпрямительного трансформатора Y/ Y0/0 и два лучевыми выпрямителями,1,5
18,использовать схему соединения обмоток выпрямительного трансформатора Y/0/ Y0  и два лучевыми выпрямителями ,0,5
19,использовать два трансформатора со схемой Y/ Y0 и два лучевых выпрямителя,0,5
20,"включить один лучевой выпрямитель в первичную обмотку, а второй – во вторичную",0,5
21,г,1,6
22,а,0,6
23,б,0,6
24,в,0,6
25,"<img src=""/static/img/q3.1.jpg"" alt=""q3.1.jpg""/>",1,7
26,"<img src=""/static/img/q3.2.jpg"" alt=""q3.2.jpg""/>",0,7
27,"<img src=""/static/img/q3.3.jpg"" alt=""q3.3.jpg""/>",0,7
28,"<img src=""/static/img/q3.4.jpg"" alt=""q3.4.jpg""/>",0,7
29,"0,25",1,8
30,"1,57",0,8
31,"0,667",0,8
32,"0,05",0,8
33,ответ 1,1,9
34,ответ 2,0,9
35,ответ 3,0,9
36,ответ 4,0,9
37,ответ 1,1,10
38,ответ 2,0,10
39,ответ 3,0,10
40,ответ 4,0,10
