id,text_question,course_id,number
1,Как при лучевых схемах выпрямителя получить 6 - пульсную кривую выпрямленного напряжения?,8,1
2,"Схема лучевого выпрямителя изображена на рис. <br> <img src=""/static/img/8.1.bmp"" alt=""8.1.bmp""/>",8,2
3,Величина среднего выпрямленного напряжения в лучевой схеме выпрямления равна …,8,3
4,Коэффицент пульсаций лучевой схемы выпрямления равен ….,8,4
5,Как при лучевых схемах выпрямителя получить 6 - пульсную кривую выпрямленного напряжения?,1000,1
6,"Схема лучевого выпрямителя изображена на рис. <br> <img src=""/static/img/8.1.bmp"" alt=""8.1.bmp""/>",1000,2
7,Величина среднего выпрямленного напряжения в лучевой схеме выпрямления равна …,1000,3
8,Коэффицент пульсаций лучевой схемы выпрямления равен ….,1000,4
9,Вопрос 1,4,1
10,Вопрос 2,4,2
